0: Deutsch Bilder auf Seite 2; []
1: Das Spiel hat eine goldene Regel 4 mit 4 einzigartigen Zielen.; [164466: Loswerden, 3142: Verlierbedingung, 166903: Ankommen, ]
2: Wähle jeweils die Würfel die im unteren Teil jeder einzelnen Aufgabe abgebildet sind.; [1292: Zufall, 1492: Siegbedingung, ]
3: Für alle müssen Farbe Position und Winkel der Würfel beachtet werden.; [1292: Zufall, ]
4: Die erbaute Konstruktion muss immer auf dem Tisch stehen.; [3173: Gemeinsames Spielfeld, ]
5: Siehe die Bilder auf Seite 2 zur Verdeutlichung der Regeln jedes Schwierigkeitsgrades; []
6: GOLDENE REGEL; []
7: Alle Lösungen müssen eine vollständige Schlange ergeben; [164466: Loswerden, ]
8: Kopf Körper Schwanz.; []
9: DIE NACHBAUSCHLANGE; []
10: DIE; []
11: Die Schlange den in der Aufgabe gezeigten Würfeln anpassen.; [1292: Zufall, ]
12: Farbe Position und Winkel der Würfel beachten.; [1292: Zufall, ]
13: DIE fallen sichtbaren Flächen eine durchgängige Schlange von Kopf bis Schwanz arrangieren.; []
14: Nur die schwarze ist nicht Teil der Schlange.; []
15: DIE Auf allen sichtbaren Flächen eine durchgängige Schlange von Kopf bis Schwanz arrangieren.; []
16: Alle sichtbaren Flächen müssen Teil der Schlange sein.; [164466: Loswerden, ]
17: falle rundum sichtbaren Flächen eine durchgängige Schlange von Kopf bis Schwanz arrangieren.; []
18: Alle rundum sichtbaren Flächen müssen Teil der Schlange sein.; [164466: Loswerden, ]
19: 4 Deutsch; []
20: Französisch page 2 4 de 4 des de couleur Position angle des illustration page 2 niveau.; []
21: REGLE; []
22: präsenter räte corps queue.; []
23: couleur Position angle; []
24: des ASSEMBLER de täte queue des des de räte queue des des ire eile partie de DE de räte queue de des de Französisch; []
25: 5 71 Englisch Page 2 game 1 golden 4; []
26: levels 4 all levels note position angle stand See page 2 level.; [164466: Loswerden, ]
27: GOLDEN; []
28: All MATCH; []
29: Match in Note position angle all FIX Fix not; []
30: ALL all 6 Englisch Holländisch 2 1; [164466: Loswerden, ]
31: regel 4 4 Kies de alle niveaus van de de 2 niveaus.; [164466: Loswerden, ]
32: REGEL; []
33: Alle slang; []
34: VORM DE; []
35: SLANG; []
36: Vorm de slang de van de DE; []
37: SLANG slang van tot de van de DE; []
38: SLANG slang van tot de van de van de; []
39: die niet 5 360 SLANG slang van tot die alle De alle van de Holländisch 7; [164466: Loswerden, ]
